iter	Passed	Remaining
0	122	122790
1	125	62427
2	127	42219
3	128	32065
4	130	26015
5	132	21982
6	134	19098
7	136	16950
8	138	15267
9	140	13910
10	142	12795
11	144	11901
12	146	11139
13	148	10459
14	150	9871
15	152	9364
16	154	8909
17	155	8501
18	157	8148
19	160	7846
20	162	7556
21	164	7291
22	165	7048
23	167	6810
24	169	6594
25	170	6397
26	172	6221
27	174	6054
28	175	5887
29	177	5727
30	178	5576
31	179	5429
32	180	5292
33	181	5163
34	182	5038
35	183	4920
36	184	4809
37	185	4699
38	186	4599
39	187	4506
40	188	4417
41	189	4328
42	190	4244
43	191	4163
44	192	4087
45	193	4015
46	194	3944
47	195	3878
48	196	3812
49	197	3751
50	198	3692
51	199	3635
52	200	3579
53	201	3525
54	202	3476
55	203	3428
56	204	3381
57	205	3335
58	206	3290
59	207	3246
60	208	3206
61	209	3166
62	210	3127
63	211	3089
64	212	3052
65	213	3016
66	214	2980
67	214	2946
68	215	2913
69	217	2890
70	218	2864
71	219	2833
72	220	2803
73	221	2772
74	222	2743
75	223	2716
76	224	2688
77	225	2661
78	226	2636
79	227	2611
80	227	2585
81	228	2561
82	229	2534
83	230	2512
84	231	2491
85	232	2471
86	233	2449
87	234	2429
88	235	2408
89	236	2388
90	237	2368
91	237	2348
92	238	2329
93	239	2311
94	240	2293
95	241	2275
96	242	2258
97	243	2241
98	244	2223
99	245	2207
100	246	2192
101	247	2182
102	248	2166
103	249	2151
104	250	2136
105	251	2121
106	252	2106
107	253	2092
108	254	2078
109	255	2064
110	256	2051
111	257	2038
112	258	2025
113	258	2011
114	259	1999
115	260	1987
116	261	1975
117	262	1964
118	263	1953
119	264	1940
120	265	1929
121	266	1916
122	267	1904
123	268	1893
124	269	1883
125	269	1872
126	270	1860
127	271	1849
128	272	1839
129	273	1829
130	274	1819
131	275	1809
132	276	1800
133	277	1792
134	278	1783
135	279	1773
136	280	1764
137	281	1755
138	281	1746
139	282	1737
140	283	1727
141	284	1717
142	285	1708
143	286	1700
144	286	1692
145	287	1683
146	288	1675
147	289	1667
148	290	1660
149	291	1653
150	292	1646
151	293	1638
152	294	1630
153	295	1623
154	296	1617
155	297	1609
156	298	1602
157	299	1595
158	300	1588
159	301	1581
160	301	1572
161	302	1565
162	303	1558
163	304	1552
164	305	1546
165	306	1540
166	307	1534
167	308	1528
168	309	1522
169	310	1516
170	311	1510
171	312	1504
172	313	1498
173	314	1492
174	315	1486
175	316	1479
176	316	1473
177	317	1467
178	318	1462
179	319	1457
180	320	1452
181	321	1447
182	322	1441
183	323	1435
184	324	1430
185	325	1424
186	326	1419
187	327	1413
188	328	1408
189	329	1403
190	330	1398
191	331	1393
192	331	1387
193	332	1382
194	333	1377
195	334	1373
196	336	1370
197	337	1365
198	338	1360
199	339	1357
200	340	1352
201	341	1347
202	342	1342
203	342	1337
204	343	1333
205	344	1329
206	345	1324
207	346	1319
208	347	1315
209	348	1310
210	349	1305
211	350	1301
212	351	1298
213	352	1294
214	353	1289
215	354	1285
216	355	1281
217	355	1276
218	357	1273
219	357	1269
220	358	1264
221	359	1260
222	360	1256
223	361	1252
224	362	1249
225	363	1245
226	364	1241
227	365	1237
228	366	1234
229	367	1230
230	368	1226
231	369	1223
232	370	1219
233	371	1215
234	372	1211
235	373	1207
236	373	1203
237	374	1199
238	375	1196
239	376	1192
240	377	1188
241	378	1185
242	379	1182
243	380	1179
244	381	1176
245	382	1172
246	383	1169
247	384	1165
248	385	1162
249	386	1158
250	387	1155
251	388	1152
252	389	1148
253	390	1145
254	390	1142
255	391	1138
256	392	1135
257	393	1132
258	394	1129
259	395	1126
260	396	1123
261	397	1120
262	398	1117
263	399	1114
264	401	1112
265	402	1110
266	403	1108
267	405	1106
268	406	1103
269	407	1102
270	409	1100
271	410	1099
272	412	1099
273	414	1097
274	415	1094
275	416	1092
276	417	1089
277	418	1086
278	419	1084
279	420	1081
280	421	1078
281	422	1075
282	423	1072
283	424	1069
284	425	1067
285	426	1064
286	427	1062
287	428	1059
288	429	1057
289	430	1054
290	431	1052
291	432	1049
